Year_x,Country_x,Song,Artist_x,Songwriter(s),Running Order,Semi Final Points,Total Points,Location,#,Country_y,#.1,Artist_y,Language,Pl.,Sc.,Eurovision_Number,Year_y,Host_Country,Host_City,Lyrics,lyrics
1979,Israel,Hallelujah (הללויה),Milk and Honey,"Kobi Oshrat
Shimrit Orr",10.0,,125.0,Jerusalem,375,Israel,7,Milk and Honey,Hebrew,1,125,24,1979,Israel,Jerusalem,"הללויה לעולם
הללויה, ישירו כולם
במילה אחת בודדה הלב מלא בהמון תודה
והולם גם הוא: איזה עולם נפלא

הללויה עם השיר
הללויה על יום שמאיר
הללויה על מה שהיה
ומה שעוד לא היה, הללויה

הללויה לעולם
הללויה, ישירו כולם
והענבלים הגדולים יהדהדו בהמון צלילים
ואיתנו הם יאמרו הללויה

הללויה עם השיר
הללויה על יום שמאיר
הללויה על מה שהיה
ומה שעוד לא היה, הללויה

הללויה על הכל
הללו על מחר ואתמול
הללויה ותנו יד ביד
ושירו מלב אחד, הללויה

הללויה עם השיר
הללויה על יום שמאיר
הללויה על מה שהיה
ומה שעוד לא היה, הללויה

הללויה על מה שהיה
ומה שעוד לא היה, הללויה","Hallelujah to the world,
Everybody will sing hallelujah.
With one single word,
The heart is full with a lot of thanks,
and beats itself as well - what a wonderful world. Hallelujah with the song,
Hallelujah for a day that shines.
Hallelujah for what has already happened,
And on what has yet to happen,
Hallelujah. Hallelujah to the world,
Everynody will sing hallelujah.
And the big clappers
will echo in many sounds,
and they'll say, with us, hallelujah. Hallelujah with the song,
Hallelujah for a day that shines.
Hallelujah for what has already happened,
And on what has yet to happen,
Hallelujah. Hallelujah for everything,
Hallelujah for tomorrow and yesterday,
and sing from one heart -
Hallelujah."
1980,Ireland,What's Another Year,Johnny Logan,Shay Healy,17.0,,143.0,The Hauge,401,Ireland,16,Johnny Logan,English,1,143,25,1980,Netherlands,The Hague,"I've been waiting such a long time
Looking out for you
But you're not here
What's another year?

I've been waking such a long time
Reaching out for you
But you're not near
What's another year?

What's another year
To someone who's lost everything that he owns?
What's another year
To someone who's getting used to being alone?

I've been praying such a long time
It's the only way to hide the fear
What's another year?

What's another year
To someone who's lost everything that he owns?
What's another year
To someone who's getting used to being alone?

I've been crying such a long time
With such a lot of pain in every tear

What's another year?
To someone who is getting used to being alone
What's another year?
For someone who is getting used to being alone
What's another year?
To someone who is getting used to being alone","I've been waiting such a long time
Looking out for you
But you're not here
What's another year?

I've been waking such a long time
Reaching out for you
But you're not near
What's another year?

What's another year
To someone who's lost everything that he owns?
What's another year
To someone who's getting used to being alone?

I've been praying such a long time
It's the only way to hide the fear
What's another year?

What's another year
To someone who's lost everything that he owns?
What's another year
To someone who's getting used to being alone?

I've been crying such a long time
With such a lot of pain in every tear

What's another year?
To someone who is getting used to being alone
What's another year?
For someone who is getting used to being alone
What's another year?
To someone who is getting used to being alone"
1981,United Kingdom,Making Your Mind Up,Bucks Fizz,"Andy Hill
John Danter",14.0,,136.0,Dublin,417,United Kingdom,24,Bucks Fizz,English,1,136,26,1981,Ireland,Dublin,"[Chorus]
You gotta speed it up and then you gotta slow it down
'Cause if you believe that our love can hit the top you gotta play around
But soon you will find that there comes a time
For making your mind up

[Verse 1]
You gotta turn it on and then you gotta put it out
You gotta be sure that it's something everybody's gonna talk about
Before you decide that the times arrived
For making your mind up

[Refrain]
Don't let your indecision take you from behind
Trust your inner vision
Don't let others change your mind

[Verse 2]
And then you really gotta burn it up and make another fly by night
Get a run for your money and take a chance and it'll turn out right
And when you can see how it's gotta be
You're making your mind up

[Verse 3]
And try to look as if you don't care less but if you want to see some more
Bending the rules of the game will let you find the one you're looking for
And then you can show that you think you know
You're making your mind up

[Refrain]
Don't let your indecision, take you from behind
Trust your inner vision
Don't let others change your mind

[Chorus]
You gotta speed it up and then you gotta slow it down
'Cause if you believe that our love can hit the top you gotta play around
But soon you will find that there comes a time
For making your mind up
You gotta speed it up and then you gotta slow it down
'Cause if you believe that our love can hit the top you gotta play around
But soon you will find that there comes a time
For making your mind up
For making your mind up
For making your mind up
For making your mind up","[Chorus]
You gotta speed it up and then you gotta slow it down
'Cause if you believe that our love can hit the top you gotta play around
But soon you will find that there comes a time
For making your mind up

[Verse 1]
You gotta turn it on and then you gotta put it out
You gotta be sure that it's something everybody's gonna talk about
Before you decide that the times arrived
For making your mind up

[Refrain]
Don't let your indecision take you from behind
Trust your inner vision
Don't let others change your mind

[Verse 2]
And then you really gotta burn it up and make another fly by night
Get a run for your money and take a chance and it'll turn out right
And when you can see how it's gotta be
You're making your mind up

[Verse 3]
And try to look as if you don't care less but if you want to see some more
Bending the rules of the game will let you find the one you're looking for
And then you can show that you think you know
You're making your mind up

[Refrain]
Don't let your indecision, take you from behind
Trust your inner vision
Don't let others change your mind

[Chorus]
You gotta speed it up and then you gotta slow it down
'Cause if you believe that our love can hit the top you gotta play around
But soon you will find that there comes a time
For making your mind up
You gotta speed it up and then you gotta slow it down
'Cause if you believe that our love can hit the top you gotta play around
But soon you will find that there comes a time
For making your mind up
For making your mind up
For making your mind up
For making your mind up"
1982,Germany,Ein bißchen Frieden,Nicole,"Ralph Siegel
Bernd Meinunger",18.0,,161.0,Harrogate,441,Germany,27,Nicole,German,1,161,27,1982,United Kingdom,Harrogate,"Wie eine Blume am Winter beginnt
Und so wie ein Feuer im eisigen Wind
Wie eine Puppe, die keiner mehr mag
Fühl' ich mich am manchem Tag
Dann seh' ich die Wolken, die über uns sind
Und höre die Schreie der Vögel im Wind
Ich singe aus Angst im Dunkel mein Lied
Und hoffe, dass nichts geschieht
Ein bisschen Frieden, ein bisschen Sonne
Für diese Erde, auf der wir wohnen
Ein bisschen Frieden, ein bisschen Freude
Ein bisschen Wärme, das wünsch' ich mir
Ein bisschen Frieden, ein bisschen Träumen
Und dass die Menschen nicht so oft weinen
Ein bisschen Frieden, ein bisschen Liebe
Dass ich die Hoffnung nie mehr verlier'
Ich weiß, meine Lieder, die ändern nich' viel
Ich bin nur ein Mädchen, das sagt, was es fühlt
Allein bin ich hilflos, ein Vogel im Wind
Der spürt, dass der Storm beginnt
Ein bisschen Frieden, ein bisschen Sonne
Für diese Erde, auf der wir wohnen
Ein bisschen Frieden, ein bisschen Freude
Ein bisschen Wärme, das wünsch' ich mir
Ein bisschen Frieden, ein bisschen Träumen
Und dass die Menschen nicht so oft weinen
Ein bisschen Frieden, ein bisschen Liebe
Dass ich die Hoffnung nie mehr verlier'
Sing mit mir ein kleines Lied
Dass die Welt im Frieden lebt
Singt mit mir ein kleines Lied
Dass die Welt im Frieden lebt","Like a flower at the beginning of winter
and like a fire in an icy wind.
Like a doll, no one loves anymore,
this is how i feel on some days.
Then I see the clouds, above me and you
and hear the cries of the birds in the wind
I'm singing because I'm afraid of the dark
and hope that nothing's going to happen. A little bit of peace, a little bit of sun
on this earth, we all live on.
A little bit of peace, a little bit of happiness,
A little bit of warmth, is what I'm whishing for.
A little bit of peace, a little bit of dreaming
and that the people don't cry so often.
A little bit of peace, a little bit of love,
that I'll never lose hope again. I know that my songs, won't change so many things
I am just a girl, who says what she feels
alone I am helpless, a bird in the wind
who feels that a storm is brewing. A little bit of peace, a little bit of sun
on this earth, we all live on.
A little bit of peace, a little bit of happiness,
A little bit of warmth, is what I'm whishing for.
A little bit of peace, a little bit of dreaming
and that the people don't cry so often.
A little bit of peace, a little bit of love,
that I'll never lose hope again. Sing with me a little song,
that the world lives in peace.
Sing with me a little song,
that the world lives in peace"
1983,Luxembourg,Si la vie est cadeau,Corinne Hermès,"Jean-Pierre Millers
Alain Garcia",20.0,,142.0,Munich,461,Luxembourg,27,Corinne Hermès,French,1,142,28,1983,West Germany,Munich,"Nous
C'etait du bleu
Un ciel d'ete
Un ocean transparent
Nous
Nous etions deux et l'on s'aimait
A fair' arreter le temps
Mais le temps nous a trahi
Alors pourquoi m'avoir promis la terr'entier'
Notr'amour aurait suffi
Je ne voulais pas d'un bonheur imaginair' -
Si la vie est cadeau
Si la vie est un cadeau
Cadeau donne
Cadeau repris
Cadeau vole
Prend l'amour comm' un cadeau
Cadeau donne
Cadeau repris
Cadeau vole -
Le bonheur est trop court
Nous
C'etait l'enfant que je voulais
Pour te l'offrir au printemps
Mais le temps a tous les droits
Alors pourquoi m'avoi promis la ten'entier'
Et l'enfant qui n'est pas la c'est aujourd'hui
Mon seul bonheur imaginair' -
Si la vie est cadeau
Si la vie est un cadeau
Cadeau donne
Cadeau repris
Cadeau vole. . ..
Cadeau vole. . ..","Us, it was all blue
A summer sky, a transparent ocean
We, we were two
and we loved each other strong enough to stop time But time has cheated on us
So, why having promised me the entire world?
Our love would have been enough
I didn't want imaginary happiness
If life is a gift If life is a gift
Given present, taken back gift, stolen present
Take love as a gift
Given present, taken back gift, stolen present
Happiness is too short Us, it was the child I wanted badly
To offer you in Spring But time has got all the rights
So, why having promised me the entire world?
And the child that is not there?
Now it is my only  imaginary happiness
If life is a gift If life is a gift
Given present, taken back gift, stolen present
Take love as a gift
Given present, taken back gift, stolen present
Happiness is too short (If life is a gift)"
1985,Norway,La det swinge,Bobbysocks!,Rolf Løvland,13.0,,123.0,Gothenburg,493,Norway,25,Bobbysocks!,Norwegian,1,123,30,1985,Sweden,Gothenburg,"Fra en radio strømmer gamle melodier
Og jeg våkner opp og spør meg hva som skjer
Er det bare drøm og fantasier
Når jeg føler at det swinger mer og mer?

La det swinge
La det rock 'n' roll
La det swinge
Til du mister all kontroll
Oh, hi, ho
La det swinge
La det rock 'n' roll

La musikken gå, la rytmen aldri stanse
Kan du kjenne at du lever her og nå?
Føler du hvor gjerne du vil danse?
Oh, og hører du at hjertet slår og slår?

La det swinge
La det rock 'n' roll
La det swinge
Til du mister all kontroll
Oh, hi, ho
La det swinge
La det rock 'n' roll

Føler du hvor gjerne du vil danse?
Hører du at hjertet slår og slår?
Og slår?

La det swinge
La det rock 'n' roll
La det swinge
Til du mister all kontroll
Oh, hi, ho
La det swinge
La det rock 'n' roll

La det swinge
La det rock 'n' roll
La det swinge
Til du mister all kontroll
Oh, hi, ho
La det swinge
La det rock 'n' swinge
La det roll 'n' swinge
La det rock 'n' roll","From a radio old melodies flow
And I wake up and ask myself what's going on
Is this only dream and fantasies
When I feel that it's swinging more and more? Let it swing, let it rock 'n' roll
Let it swing until you lose all control
Oh hi ho...
Let it swing, let it rock 'n' roll Let the music live, never let the rhythm stop
Can you feel that you're alive right here and now?
Do you feel how much you want to dance?
Oh... and do you hear your heart beating on and on? Let it swing, let it rock 'n' roll
Let it swing until you lose all control
Oh hi ho...
Let it swing, let it rock 'n' roll Do you feel how much you want to dance?
Do you hear your heart beating on and on
And on? Let it swing, let it rock 'n' roll
Let it swing until you lose all control
Oh hi ho...
Let it swing, let it rock 'n' roll Let it swing, let it rock 'n' roll
Let it swing until you lose all control
Oh hi oh...
Let it swing, let it rock 'n'
Swing, let it roll 'n'
Swing, let it rock 'n' roll"
1986,Belgium,J'aime la vie,Sandra Kim,"Jean-Paul Furnémont
Angelo Crisci
Rosario Marino Atria",13.0,,176.0,Bergen,512,Belgium,31,Sandra Kim,French,1,176,31,1986,Norway,Bergen,"Je vois des gens courber le dos
Comme si la vie marquait zéro
Moi j'ai quinze ans et je te dis
Whoa whoa... j'aime la vie
(J'aime la vie - la vie, toute la vie)
Il faut y croire, j'ai moi aussi
Des flashs d'espoir, des insomnies
Mais au total, à l'addition

J'aime l'horizon J'aime, j'aime la vie
(Même si c'est une folie)
J'aime, j'aime la vie
(Bravo pour le défi)
J'aime, j'aime la vie
Ne m'en veuillez pas
Je suis née comme ça
J'aime, j'aime la vie
Whoa... et tant pis
S'il pleut un peu beaucoup sur moi
Whoa whoa... tu es là

Devant Jacques Brel, devant Mozart
Je m'sens petite, j'ai le cafard
Je ne suis rien qu'une poussière
Dans cet univers
(C'est la vie - la vie, toute la vie)
Mais dis qu'tu m'aimes, dis qu'tu souris
Mes joies s'enchanent l'infini
Y a plus de Brel, plus de Mozart
Ma vie redémarre

J'aime, j'aime la vie
(Mme si c'est une folie)
J'aime, j'aime la vie
(Bravo pour le défi)
J'aime, j'aime la vie
Ne m'en veuillez pas
Je suis née comme ça
J'aime, j'aime la vie
Tant pis s'il pleut un peu sur moi
J'aime, j'aime la vie
(Même si c'est une folie)
J'aime, j'aime la vie
(Bravo pour le dfi)
J'aime, j'aime la vie
Ne m'en veuillez pas
Je suis née comme ça
J'aime, j'aime la vie
(Même si c'est une folie)
J'aime, j'aime la vie
(Bravo pour le défi)
Pour les jours qui n'vont pas
J'ai un truc à moi
Je compte sur toi
J'aime, j'aime la vie
Whoa... et tant pis
S'il pleut un peu beaucoup sur moi
Whoa whoa... la vie - oui, tu es là","I see people bend their backs
As if life is worth nothing
Me, I’m fifteen and I’m telling you
Whoa whoa… I love life
(I love life- life, all of life)
I too, must believe
The flashes of hope, the sleeplessness
But sum-total, addition
I love the horizon, I love, I love life
(Even if it’s crazy)
I love, I love life
(Bravo for the challenge)
I love, I love life
Don’t blame me
I’m not like that
I love, I love life
Whoa… and nevermind
If it rains too much on me
Whoa whoa… you are
Before Jacques Brel, before Mozart
I feel small, I’m depressed
I am nothing but a speck of dust
In this universe
(That’s life, life, all of life)
But say that you love me, say that you smile
My joys enchant them for infinity
There’s no more Brel, no more Mozart
My life restarts
I love, I love life
(Even if it’s crazy)
I love, I love life
(Bravo for the challenge)
I love, I love life
Don’t blame me
I’m not like that
I love, I love life
Nevermind if it rains a bit much on me
I love, I love life
(Even if it’s crazy)
I love, I love life
(Bravo for the challenge)
I love, I love life
Don’t blame me
I’m not like that
I love, I love life
(Even if it’s crazy)
I love, I love life
(Bravo for the challenge)
For the days that don’t
I have something
I count on you
I love, I love life
Whoa… and nevermind
If it rains a bit much on me
Whoa whoa… life- yes, you are"
1987,Ireland,Hold Me Now,Johnny Logan,Johnny Logan,20.0,,172.0,Brussels,539,Ireland,22,Johnny Logan (2),English,1,172,32,1987,Belgium,Brussels,"Don’t don’t close your heart to how you feel
Dream and don’t be afraid the dream’s not real
Close your eyes pretend it’s just the two of us again
Make believe this moment’s here to stay

Touch touch me the way you used to do
I know tonight could be all I’ll have with you
From now on you’ll be with someone else instead of me
So tonight let’s build this memory for the last time

Hold me now don’t cry don’t say a word just
Hold me now and I will know though we’re apart
We’ll always be together forever in love
What do you say when words are not enough

Time time will be kind once we’re apart and
Your tears tears will have no place in your heart I wish
I I could say how much I’ll miss you, when you’re gone
All my love for you will go on and on and

Hold me now don’t cry don’t say a word just
Hold me now and try to understand
That I hope at last you’ve found what you’ve been searching for
And though I won’t be there anymore I will always love you
(Hold me now don’t cry)

Don’t say a word just hold me now and I will know though
We’re apart we’ll always be together forever in love
What do you say when words are not enough
What can I say now my words are not enough","Don’t don’t close your heart to how you feel
Dream and don’t be afraid the dream’s not real
Close your eyes pretend it’s just the two of us again
Make believe this moment’s here to stay

Touch touch me the way you used to do
I know tonight could be all I’ll have with you
From now on you’ll be with someone else instead of me
So tonight let’s build this memory for the last time

Hold me now don’t cry don’t say a word just
Hold me now and I will know though we’re apart
We’ll always be together forever in love
What do you say when words are not enough

Time time will be kind once we’re apart and
Your tears tears will have no place in your heart I wish
I I could say how much I’ll miss you, when you’re gone
All my love for you will go on and on and

Hold me now don’t cry don’t say a word just
Hold me now and try to understand
That I hope at last you’ve found what you’ve been searching for
And though I won’t be there anymore I will always love you
(Hold me now don’t cry)

Don’t say a word just hold me now and I will know though
We’re apart we’ll always be together forever in love
What do you say when words are not enough
What can I say now my words are not enough"
1988,Switzerland,Ne partez pas sans moi,Céline Dion,"Nella Martinetti
Atilla Şereftuğ",9.0,,137.0,Dublin,550,Switzerland,33,Céline Dion,French,1,137,33,1988,Ireland,Dublin,"[Verse 1]
Vous qui cherchez l'étoile
Vous qui vivez un rêve
Vous héros de l'espace
Au cœur plus grand que la terre
Vous donnez moi ma chance
Emmenez-moi loin d'ici

You who are looking for the star
You who lives a dream
You hero from space
With a heart bigger than earth
You give me a chance
Take me far from here

[Verse 2]
Ne partez pas sans moi laissez-moi vous suivre
Vous qui volez vers d'autres vies laissez-moi vivre
La plus belle aventure les plus beaux voyages
Qui mènent un jour sur des soleils sur des planètes d'amour

Don't leave without me, let me follow you
You who fly to other lives, let me live
The most beautiful adventure, the most beautiful trips
That lead someday to suns, to planets of love

[Verse 3]
Vous les nouveaux poètes
Vous les oiseaux magiques
Vous vous allez peut-être trouver
De nouvelles musiques
Vous donnez-moi ma chance
Je veux chanter aussi

You the new poets
You the magic birds
You you'll probably find
New musics
You give me a chance
I want to sing also

[Verse 4]
Ne partez pas sans moi laissez-moi vous suivre
Vous qui volez vers d'autres vies laissez-moi vivre
Le bleu de l'infini la joie d'être libre
Sur des rayons sur des soleils
Sur des chansons sur des merveilles
Et dans un ciel d'amour

Don't leave without me, let me follow you
You who fly to other lives, let me live
The blue of infinite, the joy of being free
On rays on suns
On songs on wonders
And in a sky of love

[Verse 5]
Le bleu de l'infini la joie d'etre libre
Vous qui cherchez une autre vie
Vous qui volez vers l'an 2 000
Ne partez pas sans moi

The blue of the infinite, the joy of being free
You who are looking for another life
You who are flying towards the year 2, 000
Don't leave without me","You who seek the star
You who live a dream
You, heroes in the space
In the heart, bigger than the earth
Give me the chance
Take me far from here Do not leave without me
Let me follow
You who fly to other cities
Let me live
The most beautiful adventure
The most beautiful journey
Which leads one day
To suns
To the planets of love You the new poets
You the magic birds
You, you might find
New music
You, give me a chance
I want to sing along Do not leave without me
Let me follow
You who fly to other cities
Let me live
Blue of infinity
The joy of being free
On rays, on suns On songs, on wonders
And in sky of love
Blue of infinity
The joy of being free
You who seek these other lives
You who fly towards the year 2000
Do not leave without me"
1989,Yugoslavia,Rock Me,Riva,"Rajko Dujmić
Stevo Cvikić",22.0,,137.0,Lausanne,584,Yugoslavia,24,Riva,Croatian (title English),1,137,34,1989,Switzerland,Lausanne,"Oh... whoa oh oh oh...

On cijele dane svir'o je na svom klaviru
On klasiku je svir'o po notnom papiru
A svir'o je k'o pijanista – Mozarta, Chopena, Liszta
Ja novu pjesmu našla sam da svira
Whoa oh oh oh...

Rock me, baby, nije važno šta je
Rock me, baby, samo neka traje
Rock me, baby, ovo je za nervni stres
Whoa oh oh oh...

Rock me, baby, nije važno šta je
Rock me, baby, samo neka traje
Rock me, baby, samo neka je za ples

Sad cijele dane čujem zvuk starog klavira
Tu pjesmu što se svira bez notnog papira
Jer klasika je da se sluša i da se njom opija duša
A ova pjesma svira se za ples
Whoa oh oh oh...

Rock me, baby, nije važno šta je
Rock me, baby, samo neka traje
Rock me, baby, ovo je za nervni stres
Whoa oh oh oh...

Rock me, baby, nije važno šta je
Rock me, baby, samo neka traje
Rock me, baby, samo neka je za ples
Whoa oh oh oh...

Rock me, baby, nije važno šta je
(Ooh... rock, babe)
Rock me, baby, samo neka traje
(Ooh... rock, rock, rock)
Rock me, baby, ovo je za nervni stres
(Ooh... rock, babe)
(Rock me, baby) Whoa oh oh oh...

Rock me, baby, nije važno šta je
(Ooh... rock, babe)
Rock me, baby, samo neka traje
(Ooh... rock, rock, rock)
Rock me, baby, samo neka je za ples
(Ooh... rock, babe)
Samo neka je za ples
(Ooh... rock, rock, rock)
Samo neka je za...
(Ooh... rock, babe)
Whoa oh oh oh... ples","Oh... whoa oh oh oh... He was playing on his piano all day
he was playing classical on music paper
he played like a pianist - Mozart,Chopen,Liszt
I found a new song for playing
whoa oh oh oh.. rock me ,baby, it doesn't matter what it is
rock me,baby, just make it last
rockme.baby, this is for stress
whoa oh oh oh rock me ,baby, it doesn't matter what it is
rock me,baby, just make it last
rock me,baby, just make it for dance now I hear the sound of old piano all day
that song played without music paper
because classical is for listening and for drunken soul
and this song plays for dance
whoa oh oh oh rock me ,baby, it doesn't matter what it si
rock me,baby, just make it last
rockme.baby, this is for stress
whoa oh oh oh rock me ,baby, it doesn't matter what it si
rock me,baby, just make it last
rock me,baby, just make it for dance rock me ,baby, it doesn't matter what it si
(Ooh... rock, babe)
rock me,baby, just make it last
(Ooh... rock,rock,rock)
rockme.baby, this is for stress
(Ooh... rock, babe)
(rock me baby)whoa oh oh oh rock me ,baby, it doesn't matter what it si
(Ooh... rock, babe)
rock me,baby, just make it last
(Ooh... rock,rock,rock)
rock me baby,just make it for dance
(Ooh... rock, babe)
just make it for
(Ooh... rock, babe)
whoa oh oh oh... dance"
1990,Italy,Insieme: 1992,Toto Cutugno,Toto Cutugno,19.0,,149.0,Zagreb,603,Italy,32,Toto Cutugno,Italian (English),1,149,35,1990,Yugoslavia,Zagreb,"Insieme, unite, unite, Europe

Con te, così lontano e diverso
Con te, amico che credevo perso
Io e te, sotto lo stesso sogno
Insieme, unite, unite, Europe

E per te, donna senza frontiere
Per te, sotto le stesse bandiere
Io e te, sotto lo stesso cielo
Insieme, unite, unite, Europe

Sempre più liberi noi
Non è più un sogno e non sei più da solo
Sempre più in alto noi
Dammi una mano che prendiamo il volo
L'Europa non è lontana
C'è una canzone italiana per voi
Insieme, unite, unite, Europe

Per noi, nel cielo mille violini
Per noi, amori senza confini
Io e te, sotto gli stessi ideali
Insieme, unite, unite, Europe

Sempre più liberi noi
Non è più un sogno e noi non siamo più soli
Sempre più uniti noi
Dammi una mano e vedrai che voli
L'Europa non è lontana
C'è una canzone italiana per voi
Insieme, unite, unite, Europe

Sempre più liberi noi
(Sempre più liberi)
Le nostre stelle, una bandiera sola
Sempre più forti noi
(Sempre più forti)
Dammi una mano e vedrai, si vola
L'Europa non è lontana
C'è una canzone italiana per voi
Insieme, unite, unite, Europe

L'Europa non è lontana
C'è una canzone italiana per voi
Insieme, unite, unite, Europe","With you, so far and different
With you, a friend that I thought I’d lost
You and I, having the same dream
Together, unite, unite, Europe And for you, a woman without borders
With you, under the same flags
You and I, under the same sky
Together, unite, unite, Europe We’re more and more free
It’s no longer a dream and you’re no longer alone
We’re higher and higher
Give me your hand, so that we can fly
Europe is not far away
This is an Italian song for you
Together, unite, unite, Europe For us, in heaven a thousand violins
For us, love without borders
You and I, having the same ideals, mmm…
Together, unite, unite, Europe We’re more and more free
It’s no longer a dream and we’re no longer alone
We’re uniting more and more
Give me your hand and you will see you’re flying
Europe is not far away
This is an Italian song for you
Together, unite, unite, Europe We’re more and more free
(More and more free)
Our stars, one single flag
We’re stronger and stronger
(Stronger and stronger)
Give me your hand and you will see yourself flying
Europe is not far away
This is an Italian song for you
Together, unite, unite, Europe Europe is not far away
This is an Italian song for you
Together, unite, unite, Europe"
1991,Sweden,Fångad av en stormvind,Carola,Stephan Berg,8.0,,146.0,Rome,614,Sweden,31,Carola (2),Swedish,1,146,36,1991,Italy,Rome,"[Vers 1]
Jag har aldrig slutat tro
Att efter varje natt väntar gryningen
Fast jag inte kan förstå
Så finns det tid för skratt när jag börjar om igen
Känner doften från en stilla ocean
Plötsligt står jag i en levande orkan

[Refräng]
Jag är fångad av en stormvind
Fast för dig
Ingenting kan hindra mig
När det blåser i mitt hjärta
Fångad av en stormvind, natt och dag
Här finns bara du och jag
Och det ljus som himlen lämnat kvar

[Vers 2]
Det är dags att ge sig av
För stunder som har flytt kommer aldrig mer
Reser ut på öppet hav
Där allting blir som nytt
I den framtid som du ger
Utan saknad lämnar jag min trygga hamn
Fri, men ändå bunden till en öppen famn

[Refräng]
Jag är fångad av en stormvind
Fast för dig
Ingenting kan hindra mig
När det blåser i mitt hjärta
Fångad av en stormvind, natt och dag
Här finns bara du och jag
Och det ljus som himlen lämnat kvar

[Stick]
Vi går tillsammans
Förenad av kärlekens band
Min längtan vaknar
När du ler och räcker mig din hand

[Refräng]
Jag är fångad av en stormvind
Jag är fångad av en stormvind
Fast för dig
Ingenting kan hindra mig
När det blåser i mitt hjärta
Fångad av en stormvind, natt och dag
Här finns bara du och jag
Och det ljus som himlen lämnat kvar
(Fångad av en stormvind)
Jag är fångad av en stormvind","Uh-huh yeah
Woh-ho-ho-oh I have never stopped believing
That after every night a new dawn waits
Though I can not understand
There is time for laugher as I begin once again Feeling the smell of a silent ocean
And suddenly I'm standing in the middle of a windstorm I am captured by a windstorm
Caught on you
Nothing here can stop me
When it's windy in my heart
Captured by a windstorm
Night and day
Here is only you and me
And the light the sky has left behind It's time to leave
Because times that have pass will not return
Traveling on open seas
Where everything's like new
In the future that you hold Without regrets I leave my safe harbor
Free but still tied to a set of open arms I am captured by a windstorm
Caught on you
Nothing here can stop me
When it's windy in my heart
Captured by a windstorm
Night and day
Here is only you and me
And the light the sky has left behind We walk together
Joined by the ribbons of love
My longing wakes
When you smile, and reacher out your hand I am captured by a windstorm
Captured by a windstorm
(Caught for you)
Nothing here can stop me
When it's windy in my heart
Captured by a windstorm
Night and day
Here is only you and me
And the light the sky has left behind (Captured by a windstorm)
I am captured by a windstorm"
1992,Ireland,Why Me?,Linda Martin,Johnny Logan,17.0,,155.0,Malmö,645,Ireland,27,Linda Martin (2),English,1,155,37,1992,Sweden,Malmö,"Sometimes I watch you passing by my window
And sometimes I watch you passing through my dreams
And sometimes, when I look at you
You take my breath away

Sometimes I try and understand your reasons
You choose to feel the way you feel about me
And sometimes, when I turn around
And you're there, like today
I wanna say:

Why me?
I look at you and I get to feeling
Why me? (Why me, whooh)
I know it's true but I can't believe it
I keep on wondering why
My love shines in your eyes
Why me?
I look at you and I ask myself
Why me?

Sometimes I lie awake and watch you sleeping
And listen to the beating of your heart
And sometimes, when you're lying there
You take my breath away
And I wanna say

Why me?
I look at you and I get to feeling
Why me? (Why me, whooh)
I know it's true but I can't believe that it's me
Who's gonna be holdin' you in my arms tonight
And why it's me
Who's gonna be the one to make you feel all right
Tonight

Why me?
I look at you and I get to feeling
Why me? (Why me, whooh)
I know it's true but I can't believe it
I keep on wondering why
My love shines in your eyes
Why me?
I look at you and I ask myself
Why me?","Sometimes I watch you passing by my window
And sometimes I watch you passing through my dreams
And sometimes, when I look at you
You take my breath away

Sometimes I try and understand your reasons
You choose to feel the way you feel about me
And sometimes, when I turn around
And you're there, like today
I wanna say:

Why me?
I look at you and I get to feeling
Why me? (Why me, whooh)
I know it's true but I can't believe it
I keep on wondering why
My love shines in your eyes
Why me?
I look at you and I ask myself
Why me?

Sometimes I lie awake and watch you sleeping
And listen to the beating of your heart
And sometimes, when you're lying there
You take my breath away
And I wanna say

Why me?
I look at you and I get to feeling
Why me? (Why me, whooh)
I know it's true but I can't believe that it's me
Who's gonna be holdin' you in my arms tonight
And why it's me
Who's gonna be the one to make you feel all right
Tonight

Why me?
I look at you and I get to feeling
Why me? (Why me, whooh)
I know it's true but I can't believe it
I keep on wondering why
My love shines in your eyes
Why me?
I look at you and I ask myself
Why me?"
