Song,English Lyrics
Jij bent mijn leven,"I know that you lie
And that you betray me
But I condone it
For you're my life Nothing will ever come
From everything that you say
It's often like that:
Any trust is gone But I'll stand by you
Wherever you may go
Nothing can tear us apart I know that you lie
And that you betray me
But I condone it
For you're my life You, you can make up things so well
That you've almost believed them yourself
You, you promised me
A heaven on Earth every single time I know that you lie
And that you betray me
But I condone it
For you're my life Nothing will ever come
From everything that you say
It's often like that:
Any trust is gone But I'll stand by you
Wherever you may go
Nothing can tear us apart I know that you lie
And that you betray me
But I condone it
For you're my life I know that you lie
And that you betray me
But I condone it
For you're my life For you're my life
For you're my life"
Spiral,"Life has now taken shape
I'm feeling handsome and dapper
I'm floating around in ecstasy
In a cornet-shaped orbit
Underneath a pink balloon The world is made of nothing but sun
The balloon is my smybol
Oh, the way I'm floating
Oh, the way I'm living
Bong I'm humming along happily to a melody
On my way hom from a ball that went well
The moon that is showing me the way
Is happily smiling at me
My brain is empty like a shell I'm just
On this very road
Dancing away
But my thoughts are moving in a spiral Pull yourself together, my friend
Where are your ideas heading?
Towards the point
In the chorus
That keeps coming back Life has now taken shape
I'm feeling handsome and dapper
I'm floating around in ecstasy
In a cornet-shaped orbit
Underneath a pink balloon The world is made of nothing but sun
The balloon is my smybol
Oh, the way I'm floating
Oh, the way I'm living
Bong Life has now taken shape
I'm feeling handsome and dapper
I'm floating around in ecstasy
In a cornet-shaped orbit
Underneath a pink balloon The world is made of nothing but sun
The balloon is my smybol
Oh, the way I'm floating
Oh, the way I'm living
Bong, bong
Bong, bong
Oh, the way I'm floating
Oh, the way I'm living
Bong Bong"
Sangen om dig,"The song about you is never over
It wakes up happy when the day begins
It's as if a gentle and tender melody
Is humming to me A thousand things from far and near
Are sending me messages with alluring voices:
You are the only one that I love
Never forget Hope can burst apart and
People disappoint me bitterly, but
I've still got the song
That turns on a light again for my courage to face life The song about you, the melody of my life
Is humming about everything that you've given me
The song about you is never over
Because you mean my whole life to me Poets write so many
Times about the power of love
But even the most lovely song
Can't express everything Whatever is sorrow or joy
Lives deep down in your heart
No matter if I smile or cry
I'll hear a song without words The song about you, the melody of my life
Is humming about everything that you've given me
The song about you is never over
Because you mean my whole life to me"
Laiskotellen,"It’s Sunday again
The overalls are in the corner
There’s no hurry at all
The alarm clock is silent It’s Sunday morning
And although a day only lasts a day
There’s a lot you can do
A satisfied song plays
Time to travel your own roads
Lighter
Longer
Wherever Time to think about many things
Unbelievable
Unknown
However To sing without being ordered It’s Sunday again
And although it’ll soon be Monday
There’s no need to hurry
People who are lazing are singing Time to stand here and there
Questioning
Holding
The wall is in its place* Time to learn life’s rhythm
Life’s style
Life’s song
To the correct rhythm There’s a lot you can do
A satisfied song plays People who are lazing are singing
Hey, laari-laari-laa! Hey, laari-laari-laa!
People who are lazing are singing"
"Warum nur, warum?","Only why, why everything has to pass by?
Oh... only why, why nothing stays forever?
You leave me, you don't turn your head back
Give me the answer - only why, why? Only why, why the flowers bloom so beautiful
Oh... when will they fade and die?
A dream escapes, the time is up
Please, give me the answer - only why, why? Often I hear your words: I will be yours in eternity
I believed you, but it was just a pretence Oh yes... only why, why should everything be like this?
Oh... only why, why am I so alone?
Before you leave me, turn your head back
And then give me the answer - only why, why?
Why? Why?"
Le chant de Mallory,"Tell me again, Mallory
The song you sang to me
Your summer song
In the blue of the Irish sky
You were only 16 years old
I, I was still a child
And the night that came
Took us as lovers You, Mallory, you sang for me
The wind mixed up our hair
And I no longer really know why
We closed our eyes
Remember, Mallory
We had waited for the day
The both of us, dreaming,
I really believe that it was love Where is it, Mallory?
The song you sang to me
Your summer song
In the blue of the Irish sky
The sun was setting
Throwing gold into your eyes
We played at loving each other
But it was just a game to you Oh Mallory, where is that singing,
That summer love song,
Towards what country has the wind left
The wind that had brought it back,
Your song, Mallory
I will keep it forever
For it was the song,
The song of a first love La la la la la la...
For it was the song,
The song of a first love"
I Love the Little Things,"Oh... I love the little things you say
And I love the little things you do
Let's stay forever together this way
My love, I'm so in love with you

When you whisper 'I love you'
And tell me that you're true
I know I'm so lucky
That I've found a girl like you

Oh... I love the little things you say
And I love the little things you do
Let's stay forever together this way
My love, I'm so in love with you

When we're walking together
You slip your hand in mine
I know I'm so lucky
That I've found a girl so fine

I love the little things you say
And I love the little things you do
Let's stay forever together this way
My love, I'm so in love with you

When you touch me and hold me
And kiss me tenderly
I know I'm so lucky
That you came along for me

I love the little things you say
And I love the little things you do
Let's stay forever together this way
My love, I'm so in love with you
My love, I'm so in love with you"
Man gewöhnt sich so schnell an das Schöne,"A stranger came from somewhere
He gave me love and happiness
I gave away my heart, a love began
Now I only looked at him and I didn't look back One gets used to beautiful things so quickly
And then you can't let go of them anymore
One gets used to beautiful things so quickly
Once it's over, there will be a big disappointment Love, oh love, what a wonderful game
Never, you can never get enough of it One gets used to beautiful things so quickly
And then you can't let go of them anymore
One gets used to beautiful things so quickly
Once it's over, there will be a big disappointment Fidelity, fidelity, it's such a big word
Tears, tears – he ran away from me One gets used to beautiful things so quickly
And then you can't let go of them anymore
One gets used to beautiful things so quickly
Once it's over, there will be a big disappointment Love, oh love, what a wonderful game
Never, you can never get enough of it One gets used to beautiful things so quickly
And then you can't let go of them anymore
One gets used to beautiful things so quickly
Once it's over, there will be a big disappointment"
Où sont-elles passées,"Where have they gone
Those who made me believe
The lovely story of the forbidden fruit? So much time is spent in the vain expectation
Of unsteady embraces
So much time is lost The heart, overflowing with so much tenderness
By my awkwardnesses kept its torment On the street, tenderly, they took my hand
A private conversation, seriously, they said tomorrow
When I think of it today, however
I smile of the time
Of the past time, to believe in this story Where have they gone
Those who made me believe
The lovely story of the forbidden fruit? But that past time which seemed mad
So much nostalgia it will be worth to me
Because the girls then had the mystery
Of the first loves which are lost forever Where have they gone
Those who made me believe
The lovely story of the forbidden fruit?"
Oração,"Lord, to your feet I confess
Lord, I mistreated my love
Lord, if I ask for pardon here, I don't deserve it
Lord, I despite my love and sinned
Pardon, thou I beg
Lord, you are the redemption
I know I lost it and I adore it and I cry
Lord, by pray your pardon Lord, I confess the perjure of so many promises
Lord, I mistook, but in life I found my lesson
Lord, I beg you, Lord
Oh my God, don't forget my pray
Lord, oh infinite goodness, give me your pardon Love, for love I never found in life
It's late, I walk through life lost in pain
Lord, this love is purest than the rarest jewelry
Than the purest love
Lord, if love is punishment, pardon, my Lord"
Non ho l'età,"I am young,
I am young to love you.
I am young to go out only with you. And it would be not necessary
It would be not necessary
To tell you anything
Because you know too much about me. Let me live
With a romantic love
In waiting
That that day will come
But not now. I am young,
I am young to love you.
I am young to go out only with you. If you wanted,
If you wanted
To wait for me.
You will have that day,
All my love for you. Let me live
With a romantic love
In waiting
That that day will come
But not now. If you wanted,
If you wanted
To wait for me.
You will have that day,
All my love for you."
Život je sklopio krug,"There is no escape anymore
The world has closed the circle
So may the plant and the bird
Be like a human, like a friend And if I became a branch
My leaves would ponder
Oh, and the red gold would not
Teem only in the autumn If I turned into stone
I would not be forgotten
I would be the only one on the shore
A thinking, blue stone There is no escape anymore
Life has come full circle
So may the hill and the dusk
Be like a human, like a friend If I turned into stone
I would not be forgotten
I would be the only one on the shore
A thinking, blue stone There is no escape anymore
Life has come full circle
So may the hill and the dusk
Be like a human, like a friend"
I miei pensieri,"I have always searched in time
To give you better thoughts
I've searched, looking in the sky
And up there I saw how to do it
For this...for this...
I entrust my thoughts to a cloud
So that it brings them to you, who is far away
The wind will lightly push it
High up in the sky, in the immensity Maybe words and stars can unite themselves
They will be golden letters written in the sky for you
The sun will certainly let them shine
Thus you'll see them up there with me I entrust my thoughts to a cloud
Softly, softly, it will come without making any noise
It will arrive all the way to you, my love I entrust my thoughts to a cloud
Softly, softly, it will come without making any noise
It will arrive all the way to you, my love Everybody will know what I think of you
Those golden cotton balls are for you"
Près de ma rivière,"Nearby my river
Nearby my river, with silver reflections
Between heaven and earth, we loved each other much
In the light grass we forgot our oath
Nearby my river, with silver fishes
There, the world was so far away
There, there was nothing left
Nothing but my eyes in your eyes
Nothing, nothing but the both of us
Nearby my river, with silver reflections
Between heaven and earth, we loved each other much
The river is flowing and the time is flowing away
Sad and solitary, I'm coming now
Nearby my river, where we loved each other much
Nearby my river, where we loved each other much"
Caracola,"The voice of the sea
Was held prisoner by the conch shell,
Because your heart hadn't gone
My heart enclosed it,
I love you, how I love you
The echo repeated to me Why, between sky and sea,
Between shadow and light, did I see your eyes?
Why did I feel
My heart quickly sinking that day? Why did you go to save me,
And I gave you the sea when the wave came?
Why did your love invade
My beach, that was so lonely yesterday? Thus your voice transformed
My heart into your conch shell Why did you go to save me,
And I gave you the sea when the wave came?
Why did your love invade
My beach, that was so lonely yesterday? Thus your voice transformed
My heart into your conch shell
Of love, of love"
't Is genoeg,"It’s enough
I have enough of all the games with fire
I have enough of all the beautiful compliments
And presents, it’s enough
I want to be happy
It’s enough What you promised me seemed so romantic
But soon that fairy tale appeared to be a deceptive appearance
And when you threw our love away that evening in May
That was enough Maybe you loved me
I was so happy with you
That my life I gladly wanted
To share with you But that you’re always lying
And cheating me consciously
Is unacceptable to a woman
Who, always faithful
Would tell you then: It’s enough
I have enough of all the games with fire
I have enough of all the beautiful compliments
And presents, it’s enough
I want to be happy It’s enough I’ve known many men and also illusions
I don’t believe in romances anymore, for a long time now
In the long term every adventure finds
Its ending in grief anyhow
That’s enough Yet I’m still dreaming of
A quite common man
One who sincerely and unrestrained
Can love me I’m tired of flirting
Ready for true love
Because I’m still a young woman
Who, always faithfully
Would tell him then: It’s enough
I have enough of all the games with fire
Even though you don’t give me any nice compliments
The moments of luck
You give them enough It’s enough, it’s enough
It’s enough"
I Belong,"I belong, I belong, I belong

Since half my life, my heart's been sleepin'
For all this time, my love's been keepin'

But now my heart has recovered
From past affairs that turned wrong
All my dreams are uncovered
I belong, I belong, I belong

At first, I thought - just one more lover
But then I found why he's like no other

And now my heart has recovered
From past affairs that turned wrong
All my dreams are uncovered
I belong, I belong, I belong

Too many hours slipped away
Too many loves came my way
But they only broke my heart in two
While it needed someone just like you

At last you came, and from now on
The two of us would be as one

Yes, now my heart has recovered
From past affairs that turned wrong
All my dreams are uncovered
I belong, I belong, I belong

I belong"
"¡Qué bueno, qué bueno!","How good, how good, how good!
To know that you feel the same I do
How good, how good, how good!
To know that I'm inside your heart How good, how good, how good!
To know that the love you give to me is true
How good, how good, how good!
To know that happiness is waiting for me Hours seem like centuries, days seem like the eternity
Then when I'm with you, time passes flying But, how good, how good, how good!
To know that your kisses are now for me
How good, how good, how good!
How good the love I feel for you!
How good, how good, how good!
How good the love I feel for you!"
Walking the Streets in the Rain,"My poor heart feels like breaking
‘Cause I’ll never see you again
Still, nobody knows I am crying
‘Cause I’m walking the streets in the rain
My tears are mixed through the raindrops
And I feel like I can’t stand the pain
Still, nobody knows I am crying
‘Cause I’m walking the streets in the rain
I’m retracing your steps one by one
Oh, we walk down the street for so long
I can still see your face through my teardrops
While the rain whispers softly: “She’s gone”
The tears and the rain will keep falling
Till you bring back the sunshine again
Still, nobody knows I am crying
‘Cause I’m walking the streets in the rain
Still, nobody knows I am crying
‘Cause I’m walking the streets in the rain"
"Paradies, wo bist du?","First a look, then a word
Then a letter, then a ""you""
Then a kiss, then a heart
Where are you, paradise?
Have I found you? Then the day, then the light
Then the slap in the face
Everything over and done
Oh paradise, where are you? Am I so alone
I stand there and cry
Like a little girl
Lost in the city Then music, then a scent
Sunshine in the air
Flowers bloom, dreamlike and beautiful
Oh paradise, where are you? Da dada… ta dadada da…
Dada duya dada… ta dada dada…
Didi dudi… didi duda didi…
Dadi day… Am I so alone
I stand there and cry
Like a little girl
Lost in the city Then a person and a word
Then a letter and a ""you""
Then a kiss and a heart
Oh paradise, oh paradise,
Oh paradise, where are you?"
"Sag ihr, ich lass sie Grüßen","Tell her, that I send her my love
Tell her, that I'm feeling fine
Don't tell her about my tears
And how my heart still hurts Tell her, that I send her my love
Tell her, that I'm happy
Don't tell her about my hope
That often lies to my heart Say hello to her, when you see her
And when she begins to speak about me
Then tell her what you want
Only the truth you can't tell her, please don't, oh... Tell her, that I send her my love
Tell her, that I'm feeling fine
She went away, away from me
And she knows, that nothing remains with me
In spite of that, tell her that I love her She went away, away from me
And she knows that nothing remains with me
In spite of that, tell her that I love her Oh... I love her"
Karusell,"Mum, I'm going to me meet Kjell
And Arne1 tonight
We're going to share a ticket for a ride
On an amusing roundabout Mum, whom should I take the first ride with?
Maybe Arne, for he's the taller one?
Yes, he's going to beat up Kjell
If he pulls my braid
Or calls me his smashing girl But once Arne and I go for a ride
Kjell will be so horribly mad
So I think it'll be best
If the three of us take a ride together
In a carriage that is big enough for that Mum, I'm in love with Kjell
So it goes without saying that I want to ride with him as well
Once we speed away
He's going to give me quite a hug
And so I'll let him take me home Poor Arne is for himself now
But I can't let that allow to bother me
I'm already busy
Taking care of myself2
When I'm flying around with Kjell When I'm flying around
When I'm flying around
When I'm flying around in our roundabout"
Als het weer lente is,"When it's springtime again
I'll save the drops of dew
When it's springtime again
I'll buy for you just what you want
When it's your holiday
I'll be waiting for you for ever
And in my thoughts I am with you
I'm counting the stars of April in the sky
I wanted to spend my life with you happily
I'll save the pearls of dew for you
When it's springtime again, for you
I'll go and close the doors every evening
I'll turn off the lights every evening
In summer, we'll go and have a picnic outside
And for each bite, you'll get a kiss
I'll save the drops of dew
When it's springtime again
I'll buy for you just what you want
When it's your holiday
I'll be waiting for you for ever
And in my thoughts I am with you
I'm counting the stars of April in the sky
I wanted to spend my life with you happily
I'll save the pearls of dew for you
When it's springtime again, for you"
Va dire à l'amour,"Go and tell love
Go and tell love
That I'm seventeen years old
Tell him that while dreaming
I'm waiting for him, I'm waiting for him, I'm waiting for him
Go and tell love
That he must come as a friend
And we'll see
If my heart, if my heart keeps him
You'll know better than me
Where to find him in the night
You'll know better than me
How to talk to him as a friend
Go and tell love
That before his awakening
My days are just like
Days and days without sun
But why, but for whom
Are the flours of spring?
But why and for whom
Does my heart beat more often?
Go and tell love
That I'm seventeen years old
Tell him that while dreaming
I'm waiting for him, I'm waiting for him, I'm waiting for him
And that he must think of me for a long time"
Absent Friend,"A night of spring is a lovely thing
But I feel sad in this night of spring
For this is the time the sloe gets bright
And this is a most bewitching night
And I am lonely and you are far
And you can't hear what I sing

I wish I knew where you are tonight
I wish you're thinking of me tonight
Where are you tonight?
I wish you feel how I long for you
And I wish you're missing me too
And I wish I knew where to go
Knowing you
Knowing you

We ought to walk where the cowslips grow
Behind the hedge of candescent sloe
And you ought to smile and look at me
And I ought to kiss you tenderly
But I don't know if you still are mine
This lovely evening of spring

I wish I knew where you are tonight
I wish you're thinking of me tonight
Where are you tonight?

I wish you feel how I long for you
And I wish you're missing me too
And I wish I knew where to go
Knowing you
Knowing you

Tonight"
N'avoue jamais,"Never admit, never, never, never, never
Never admit that you love
Never admit, never, never, never, oh no, never
Never admit that you love him If you want someone to give you everything you expect
If you want autumn to have the flavor of spring
Be the one who reroutes, and always remember
That you must sow doubt to harvest love Never admit, never, never, never, never
Never admit that you love
Never admit, never, never, never, oh no, never
Never admit that you love him If you hold onto defending your happiness of being in love
If you hold onto understanding the tenderest promises
Be the one who people love for what they do not say
Who starts a poem but doesn't finish it Never admit, never, never, never, never
Never admit that you love
Never admit, never, never, never, oh no, never
Never admit that you love him Never admit, never, never, never, never
Never admit that you love him"
Sol de inverno,"God knows that I wanted to be happy with you
To live in the sunlight of your most tender look
Now your desire is dead, I live my own desire
Blooming spring in the winter sun
Dreams that I dreamt, where are they?
Hours that I lived, who has them?
What’s the use of having a heart, and not having anyone’s love? Kisses that I gave you, where are they?
Who have you given what belonged to me?
It’s better not to have a heart, than having it and not having it, like me I bartered everything in my life for nothing
Defeated flag, torn in the ground
I’m the forgotten date, the lost thing that goes on auction Dreams that I dreamt, where are they?
Hours that I lived, who has them?
What’s the use of having a heart, and not having anyone’s love?
I live of longings, my love, my life has lost the splendour
Like a winter sun I have no warmth What’s the use of having a heart, and not having anyone’s love?
I live of longings, my love, my life has lost the splendour
Like a winter sun I have no warmth"
"Se piangi, se ridi","If you cry, my love,
I cry with you because I'm a part of you.
Always smile, if you don't want,
if you don't want ever see me suffer. If you laugh, my love,
I laugh with you because you're a part of me.
Always remember, whatever you do
you'll see it (reflected) on my face. You're never alone
even if you, you're away from me.
Every moment, wherever you'll go
you'll find me next to you. If you cry, if you laugh
I'm with you because I'm a part of you.
Always remember, whatever you do
you'll see it on my face. ...........
...........
Always remember, whatever you do
you'll see it on my face."
For din skyld,"Because of you I wear rustling skirts
Because of you I'm girlish, sweet and coquettish
Because of you, I must be conquered every time
For your dream ist to tame me, make me weak and leaden
While I'm offering resistance Every time it will be like back then
Every time I want want to give, you'd rather take But my dream is to love in friendship
I'm tired of my womanhood
Because it makes you broad-shouldered
I'm not into men who are men
But into men who are humans Because of you the comedy is over
Because of you it's time to take off the masks
Because of you your lover is making a fuss
I'm not your prey but your companion
A human, I'm saying that because of you Or else I'll slip away"
"Poupée de cire, poupée de son","I'm a wax doll
A sound doll
My heart is engraved in my songs
Wax doll, sound doll Am I better, am I worse
Than a fashion doll ?
It's like I see life through bright rosy-tinted glasses
Wax doll, sound doll My records are a mirror
In which everyone can see me
I'm everywhere in the same time
Broken in a thousand pieces of voice Around me I can hear
Rag dolls laughing
Those who dance to my songs
Wax doll, sound doll They let themselves be seduced
For any old reason
Love isn't only in songs
Wax doll, sound doll My records are a mirror
In which everyone can see me
I'm everywhere in the same time
Broken in a thousand pieces of voice Alone, I sometimes sigh
Thinking, what's the point
Of singing love like this, without reason
Without knowing anything about boys? I'm only a wax doll
Only a sound doll
Under my sunny blond hair
Wax doll, sound doll But one day I'll be living my songs
Wax doll, sound doll
Without fearing boys' warmth
Wax doll, sound doll"
Aurinko laskee länteen,"The sun rose in the morning brightening my sky
In purple clouds rowed the fulfilment of dreams Now the sun sets in the west
The evening has already arrived
The sun sets in the west
A sun without love I have never believed in the evening
Arriving so suddenly
Until I saw a blue bird
Flying to the east I saw it and I understood
The time of love has gone
When the sun sets in the west I thought the sun of happiness
Paused in the sky
Until I saw a fading glimmer
A fire burning away I saw it and I understood
The time of love has gone
When the sun sets in the west
When the sun sets in the west"
Čežnja,"The sea rustles with white foam while the restless waves
Bring echoes of memories with every break
Echoes of daydreams to this quiet shore Silently, the sea rustles like in those days of dreaming
When we fell asleep on the sandy ground
Fell asleep there on the ground of the hot south Oh, tell me, sea, tell me
About the dawn of the morning of my longing for her Silently, the sea rustles now as if it wants to tell a story
With the whisper of silence about one love
Born here on the ground of the hot south Oh, tell me, sea, tell me
About the dawn of the morning of my longing for her
My deep longing for her"
Non – à jamais sans toi,"No, for the lost time that I only wanted you
No, for the passed time that I only thought of you
Go, you see, it's already tomorrow
Go, you understood nothing
Go, you see, I don't cry
Today I tell you No, for the big roads along
Which I came back to you from far away
No, for the summer nights that only made you dance
Go, until the end of the horizon
Today it's no No, because one morning nothing will be left of you
No, the day of another love without you will come
Go, you see, it's already tomorrow
Forever without you
Go, you see, it's already tomorrow
Forever without you"
Die Zeiger der Uhr,"You still sometimes read the old letters that he wrote you
In which every line said to you ""I love you""
You close your eyes and dream of him
and of lost happiness But the hands of the clock only rotate
Forward, forward and never backwards You still have many nice photos of that time
For these wonderful years, you are sorry
you close your eyes, dream of him
and of lost happiness But the hands of the clock only rotate
Forward, forward and never backwards You feel lonely and dream of yesterday,
yet you live today
There will come someone who will free you of your dreams
You close your eyes
and then begins for you a new happiness Because the hands of the clock only rotate
Forward, forward and never backwards The hands of the clock only rotate
Forward, forward and never backwards"
Stop – mens legen er go',"Stop, while the going is good
When a girl's going home from her first dance
It happens that her friend, goes just a bit too far
Yes, that happens so often, but she answers back:
Stop, yes stop, yes stop, while the going is good
For I can feel, that you'll forget
That I should be home by two o'clock
What if, yes what if, yes what if the dreams would burst
For I think you can see
Time stops completely, when you hold so tight
Let's just aimlessly wander on
Enjoy the tranquillity of the starry sky, it was made for us
Come, yes come, yes come, perhaps I'll say yes
When the time has come for the puzzle of love
It will be without a 'stop'
Let's just aimlessly wander on
Enjoy the tranquillity of the starry sky, it was made for us
Come, yes come, yes come, perhaps I'll say yes
When the time has come for the puzzle of love
It will be without a 'stop'"
"Un peu de poivre, un peu de sel","A bit of pepper, a bit of salt
A bit of love, a bit of honey
When this all will be mixed together
You'll finally be able to say that it happened He always passed me right under my nose
I didn't exist for him
He couldn't know that my big love
Flourished not far from him To the local sorceress
I could finally tell about him
She looked at me for a long, long time
And this is what she told me ""A bit of pepper, a bit of salt""
""A bit of love, a bit of honey""
""When this all will be mixed together""
""You'll finally be able to say that it happened"" I followed with no further explanation
The advice she gave me
To win the love of this beautiful boy
I wanted to try everything I've bought a brandy
At one hundred and twenty-one degrees
And strongly thinking about him
I've added bravely A bit of pepper, a bit of salt
A bit of love, a bit of honey
When that all was mixed together
What had to happen, happened Tom topo tom tom tom to tom...
Tom topo tom tom tom to tom... Upon a beautiful day he came to me
My mother invited him
I gave him my herb tea to drink
And after that, everything changed I love him, he loves me, we love each other
As in a fairy tale
To hold a boy dear
It's enough to give him A bit of pepper, a bit of salt
A bit of love, a bit of honey A bit of pepper, a bit of salt"
Ce soir je t'attendais,"The wind could have shaken the branches,
In the street, shutters are shut,
On a white tablecloth, a few roses are leaning
Over cutlery for two. Your favorite melody
Is laying on the piano's edge.
Everything's ready, I hope, I don't have anything left to do
But open (the door), because I hear your footsteps
But here you are, don't get that surprised look. Because I knew, and I was waiting for you, this evening I was waiting for you
I was so sure you would come
Yes, I knew, and I was waiting for you, this evening I was waiting for you
I was right to hope for you. We hurt each other so bad,
We separated for a few words.
It's ancient history, I know you love me
That's why I was watching out for your steps
And here I am, in front of you, opening my arms (to you) Because I knew, and I was waiting for you, this evening I was waiting for you
I was so sure you would come
Yes, I knew, and I was waiting for you, this evening I was waiting for you
I was right to hope for you. Because I knew, and I was waiting for you, this evening I was waiting for you
To keep you forever
Yes, I knew, and I was waiting for you, this evening I was waiting for you
This evening I was waiting for you"
Brez besed,"Without words we will find each other somewhere
Go forward hand in hand
Like many years have not passed Without words, without questions and without lies
We will find a piece of dreams
That dwell on the bottom of a heart all of the days Take the other me
Only you know it, only you know it exists
For a moment let's again be, what we are
Without words, without lies Devotedly and wordlessly in the morning we will each go our separate way
With an eternal wish, that we again
Would somewhere, in a house of dreams
Find our haven Take the other me
Only you know it, only you know it exists
For a moment let's again be, what we are
Without words, without lies Devotedly and wordlessly in the morning we will each go our separate way
With an eternal wish, that we again
Would somewhere, in a house of dreams
Find our haven"
Intet er nytt under solen,"I know an old man, someone who has lived for a long time
I know an old man, someone who has lived for a long time
He's so kind asking me what has happened to me
And if the sun had burnt me I talk and seek comfort, he rocks in his chair
He says with a broken voice: ""There's nothing new under the sun"" But what does it matter if things happened before me?
But what does it matter if things happened before me?
No, what makes me hurt so much with all that he knew
That his eyes were sad What can expect myself in that rocking chair?
When he's so sad there now, there's nothing new under the sun"
Playboy,"Bright red cars, expensive leather seats
The latest model, I don’t trust you
Groupies, I don’t belong with them
You charm, you laugh, you tempt, angry fathers accuse you You’re a playboy, a slippery playboy
Certainly a playboy, but I won’t stick to your web
You’re a playboy, a slippery playboy
Certainly a playboy, but I won’t stick to your web Surfing, tennis and fencing
I only look for a moment, I don’t trust you
What about winter sports, girls, yes, and sledding
A St. Moriz winter is miserable without you You’re a playboy, the same playboy
A pretty playboy, but I won’t get on your sled
You’re a playboy, the same playboy
A pretty playboy, but I won’t get on your sled Many wealthy ladies, many debutantes
You deceive with a smile, I don’t trust you
Your name is linked with Double O Seven
The zeroes might be right, but not the seven You’re a playboy, a proper playboy
A real playboy, I can live without you
You’re a playboy, a proper playboy
A real playboy, I can live without you I can live without you"
Ele e ela,"I know who he is
He is a good guy
Maybe a little shy
He lived the dream of finding love
'Cause his heart desired more
More warmth She appeared
And her beauty
Caught him immediately
They love each other and now he says
That he achieved the greatest good in life,
He's happy. He thinks of her
All the time
He dreams about her
Through the night
He cries for her
If she doesn't show up He speaks only about her
Any time
He's got her
In his mind
He's nobody
Without her"
"Merci, Chérie","Thank you, thank you, thank you
For the hours, darling, darling, darling
Our love was beautiful, so beautiful, thank you, darling
Don't be sad, even though I have to leave you Goodbye, goodbye, goodbye
Your tears hurt, hurt so much, so much
Our dream flies away, away, thank you, darling
Don't cry, even this does make some sense Look ahead, don't look back, you can't force destiny
Because no sea is as wild as love
Only love can be like this
Can be like this, like this Thank you, thank you, thank you
For the hours, darling, darling, darling
Our love was beautiful, so beautiful, thank you, darling So beautiful, so beautiful, thank you, darling
So beautiful, so beautiful, thank you, darling"
Nygammal vals (Hip man svinaherde),"You are the only one who sees my secrets,
though nobody has spoken, you know what I'm asking.
My longing is just you. Merely you give me
a little word, I am yours. You are the only one I can never forget;
your mouth, your eyes, your calming voice.
And so I ask you now: merely you give me
a little word, I am yours. No one like you, though you belong to another,
gives me love, with you I want to stay!
My destiny is to become yours in my fantasy,
a part of the world that is yours. ~ ~ ~ You are the only one that makes me dream,
the only one who knows what my tears are hiding.
My longing is just you. Merely you give me
a little word, I am yours. You are the only one I can never forget;
your mouth, your eyes, your calming voice.
And so I ask you now: merely you give me
a little word, I am yours. No one like you, though you belong to another,
gives me love, with you I want to stay!
My destiny is to become yours in my fantasy,
a part of the world that is yours."
Yo soy aquél,"I'm that one
Who chases after you every night
I'm that one
Who doesn't live anymore because he loves you
The one who waits for you
The one who dreams of you
The one who wants to be the owner of your love
Of your love I'm that one
Who gives his life to have you
I'm that one
Who's far away and doesn't forget you
The one who waits for you
The one who dreams of you
That one who every night prays for your love And I'm here, here, to love you
I'm here, here, to adore you
I'm here, here to tell you
That nobody loved you like I did I'm that one
Who gives his life to have you
I'm that one
Who being far away doesn't forget you
The one who waits for you
The one who dreams of you
That one who every night prays for your love And I'm here, here, to love you
I'm here, here, to adore you
I'm here, here to tell you
Love, love, love, love!"
Ne vois-tu pas?,"Don't you see that now I am no longer a child?
Don't you see that the years have passed?
After time, my heart has also grown
And I love you differently than as a friend
Don't you see? Every time that you take my arms
Don't you see that I push myself against you?
When you hold me, one would well say, that I'm afraid of it
That we are, you and I, brother and sister They say that love is blind
But I, I believe that it's deaf like you
It's true that I'm all alone when I tell you this Don't you see that now I am no longer a child?
Don't you see that the years have passed?
After time, my heart has also grown
And I love you differently than as a friend Don't you see? This time that I've taken your arms
Don't you see that you push yourself against me?
The first step, I had to take it before you
And you love me since that day
And we love each other since that day"
Bien plus fort,"Much stronger than the wind
And greater than the earth
Is your love for me
Is my love for you
Today, tomorrow and forever Much redder than blood
And harder than stone
Is your love for me
Is my love for you
Today and tomorrow, my love So open your arms
Take me faraway from here
I want to live with you
And laugh with your mouth
And cry with your eyes
And sing and dance
And know that you're happy More burning than fire
And softer than rain
Is your love for me
Is my love for you
Today, tomorrow and forever Far beyond life
And above death
Is your love for me
Is my love for you
Today and tomorrow, my love My love... my love..."
"Dio, come ti amo","In the sky, the clouds that
are going towards the sea, pass by.
They seem like white handkerchiefs
that salute our love. God..., how I love you!
It is not possible,
to have in my arms
so much happiness.
To kiss your lips
that smell of wind.
We two, in love
like nobody in the world... God.., how I love you!
It makes me cry.
In all my life
I have never felt
a love so dear,
a love so true.
Who can stop the river
that runs towards the sea,
the swallows in the sky
that are going towards the sun,
who can change the love,
my love for you? God..., how I love you! A love so dear,
a love so true.
Who can stop the river
that runs towards the sea,
the swallows in the sky
that are going towards the sun,
who can change the love,
my love for you? God..., how I love you!
God..., how I love you!"
